Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,3550.0,3001.0,550.0,15.0,54.0,34.0,51.0,519.0,27.0,378.0,15.77
2022-06-01,3701.0,3200.0,501.0,14.0,56.0,42.0,51.0,463.0,28.0,336.0,14.01
2022-09-01,4380.0,3668.0,712.0,16.0,53.0,54.0,52.0,659.0,26.0,491.0,20.48
2022-12-01,4197.0,3379.0,818.0,19.0,428.0,38.0,58.0,1149.0,19.0,932.0,38.71
2023-03-01,4023.0,3222.0,801.0,20.0,60.0,35.0,65.0,761.0,27.0,558.0,23.19
2023-06-01,4011.0,3322.0,689.0,17.0,57.0,53.0,71.0,622.0,27.0,455.0,19.0
2023-09-01,4433.0,3562.0,871.0,20.0,52.0,53.0,72.0,799.0,27.0,586.0,24.39
2023-12-01,4256.0,3437.0,820.0,19.0,48.0,31.0,78.0,758.0,27.0,556.0,23.1
2024-03-01,4069.0,3286.0,784.0,19.0,57.0,26.0,80.0,735.0,27.0,537.0,22.35
2024-06-01,4250.0,3497.0,753.0,18.0,31.0,29.0,74.0,681.0,26.0,505.0,20.99
2024-09-01,4668.0,3888.0,780.0,17.0,46.0,35.0,76.0,715.0,26.0,532.0,22.06
2024-12-01,4593.0,3750.0,843.0,18.0,62.0,45.0,82.0,778.0,25.0,582.0,24.15
2025-03-01,4432.0,3632.0,801.0,18.0,63.0,31.0,81.0,752.0,26.0,559.0,23.25
