Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,20861.0,16724.0,4136.0,20.0,502.0,172.0,734.0,3732.0,17.0,3092.0,2.82
2022-06-01,21529.0,17671.0,3858.0,18.0,472.0,204.0,774.0,3352.0,24.0,2559.0,2.34
2022-09-01,22540.0,18608.0,3932.0,17.0,512.0,227.0,797.0,3420.0,23.0,2649.0,2.42
2022-12-01,23229.0,18690.0,4539.0,20.0,649.0,290.0,923.0,3975.0,23.0,3065.0,2.78
2023-03-01,23190.0,18671.0,4519.0,19.0,632.0,286.0,847.0,4018.0,23.0,3094.0,2.8
2023-06-01,22831.0,18627.0,4204.0,18.0,640.0,309.0,738.0,3798.0,24.0,2886.0,2.61
2023-09-01,22516.0,18546.0,3970.0,18.0,740.0,303.0,897.0,3509.0,24.0,2667.0,2.53
2023-12-01,22205.0,18007.0,4198.0,19.0,598.0,312.0,932.0,3552.0,24.0,2701.0,2.58
2024-03-01,22208.0,17828.0,4381.0,20.0,653.0,331.0,840.0,3862.0,26.0,2858.0,2.71
2024-06-01,21964.0,17614.0,4350.0,20.0,730.0,329.0,729.0,4022.0,24.0,3037.0,2.87
2024-09-01,22302.0,17798.0,4503.0,20.0,962.0,357.0,831.0,4278.0,25.0,3227.0,3.07
2024-12-01,22319.0,17779.0,4540.0,20.0,1005.0,415.0,676.0,4453.0,24.0,3367.0,3.2
2025-03-01,22504.0,17880.0,4624.0,21.0,1217.0,377.0,722.0,4743.0,24.0,3588.0,3.41
