Date,Price on NSE
2024-06-06,1170.95
2024-06-07,1186.8
2024-06-10,1200.0
2024-06-11,1194.6
2024-06-12,1187.9
2024-06-13,1174.65
2024-06-14,1181.05
2024-06-18,1191.9
2024-06-19,1226.65
2024-06-20,1239.5
2024-06-21,1237.45
2024-06-24,1228.1
2024-06-25,1271.45
2024-06-26,1285.4
2024-06-27,1288.95
2024-06-28,1265.25
2024-07-01,1261.9
2024-07-02,1253.4
2024-07-03,1280.0
2024-07-04,1280.9
2024-07-05,1287.05
2024-07-08,1287.85
2024-07-09,1289.4
2024-07-10,1291.65
2024-07-11,1296.75
2024-07-12,1317.3
2024-07-15,1307.45
2024-07-16,1304.0
2024-07-18,1309.4
2024-07-19,1292.35
2024-07-22,1282.5
2024-07-23,1263.25
2024-07-24,1239.25
2024-07-25,1175.9
2024-07-26,1177.35
2024-07-29,1170.05
2024-07-30,1170.0
2024-07-31,1166.1
2024-08-01,1172.3
2024-08-02,1160.85
2024-08-05,1133.5
2024-08-06,1126.1
2024-08-07,1136.8
2024-08-08,1138.15
2024-08-09,1142.75
2024-08-12,1164.3
2024-08-13,1159.6
2024-08-14,1153.1
2024-08-16,1166.85
2024-08-19,1153.25
2024-08-20,1168.0
2024-08-21,1174.4
2024-08-22,1169.95
2024-08-23,1165.95
2024-08-26,1170.3
2024-08-27,1181.25
2024-08-28,1170.95
2024-08-29,1175.4
2024-08-30,1175.25
2024-09-02,1188.8
2024-09-03,1191.6
2024-09-04,1177.7
2024-09-05,1180.55
2024-09-06,1158.75
2024-09-09,1170.85
2024-09-10,1187.2
2024-09-11,1186.1
2024-09-12,1203.35
2024-09-13,1217.45
2024-09-16,1231.05
2024-09-17,1232.1
2024-09-18,1240.45
2024-09-19,1242.7
2024-09-20,1245.0
2024-09-23,1246.8
2024-09-24,1239.55
2024-09-25,1268.1
2024-09-26,1277.1
2024-09-27,1273.15
2024-09-30,1232.2
2024-10-01,1226.65
2024-10-03,1175.7
2024-10-04,1178.4
2024-10-07,1145.7
2024-10-08,1153.3
2024-10-09,1170.15
2024-10-10,1184.25
2024-10-11,1172.45
2024-10-14,1164.35
2024-10-15,1153.85
2024-10-16,1153.2
2024-10-17,1131.85
2024-10-18,1196.85
2024-10-21,1190.3
2024-10-22,1175.75
2024-10-23,1160.4
2024-10-24,1167.35
2024-10-25,1189.35
2024-10-28,1171.6
2024-10-29,1186.85
2024-10-30,1170.4
2024-10-31,1159.55
2024-11-01,1169.55
2024-11-04,1139.25
2024-11-05,1171.7
2024-11-06,1166.5
2024-11-07,1159.9
2024-11-08,1160.95
2024-11-11,1171.0
2024-11-12,1158.15
2024-11-13,1139.15
2024-11-14,1140.7
2024-11-18,1126.2
2024-11-19,1133.95
2024-11-21,1139.15
2024-11-22,1142.4
2024-11-25,1155.9
2024-11-26,1144.8
2024-11-27,1149.65
2024-11-28,1132.5
2024-11-29,1136.3
2024-12-02,1137.1
2024-12-03,1160.5
2024-12-04,1159.45
2024-12-05,1166.4
2024-12-06,1184.55
2024-12-09,1163.25
2024-12-10,1153.65
2024-12-11,1147.25
2024-12-12,1145.65
2024-12-13,1148.15
2024-12-16,1150.9
2024-12-17,1136.25
2024-12-18,1122.25
2024-12-19,1108.9
2024-12-20,1071.85
2024-12-23,1079.15
2024-12-24,1078.9
2024-12-26,1076.7
2024-12-27,1077.45
2024-12-30,1069.95
2024-12-31,1064.7
2025-01-01,1071.8
2025-01-02,1086.6
2025-01-03,1084.9
2025-01-06,1063.4
2025-01-07,1067.5
2025-01-08,1074.95
2025-01-09,1061.75
2025-01-10,1040.7
2025-01-13,1049.3
2025-01-14,1051.65
2025-01-15,1026.8
2025-01-16,1038.0
2025-01-17,991.05
2025-01-20,988.05
2025-01-21,970.2
2025-01-22,959.3
2025-01-23,951.05
2025-01-24,948.5
2025-01-27,948.1
2025-01-28,983.8
2025-01-29,983.4
2025-01-30,984.7
2025-01-31,986.1
2025-02-01,998.15
2025-02-03,989.4
2025-02-04,1015.3
2025-02-05,1013.3
2025-02-06,1020.7
2025-02-07,1024.1
2025-02-10,1011.75
2025-02-11,1007.4
2025-02-12,1006.9
2025-02-13,1008.2
2025-02-14,997.5
2025-02-17,992.95
2025-02-18,994.15
2025-02-19,1011.35
2025-02-20,1017.2
2025-02-21,1008.95
2025-02-24,1010.05
2025-02-25,1009.1
2025-02-27,1016.7
2025-02-28,1015.55
2025-03-03,1007.25
2025-03-04,1001.8
2025-03-05,1014.45
2025-03-06,1034.1
2025-03-07,1037.65
2025-03-10,1035.85
2025-03-11,1025.65
2025-03-12,1011.2
2025-03-13,1010.2
2025-03-17,1034.15
2025-03-18,1045.25
2025-03-19,1052.05
2025-03-20,1054.35
2025-03-21,1070.15
2025-03-24,1097.85
2025-03-25,1118.55
2025-03-26,1096.25
2025-03-27,1098.35
2025-03-28,1102.0
2025-04-01,1085.6
2025-04-02,1084.45
2025-04-03,1089.85
2025-04-04,1091.3
2025-04-07,1047.95
2025-04-08,1077.85
2025-04-09,1061.65
2025-04-11,1068.95
2025-04-15,1112.8
2025-04-16,1161.3
2025-04-17,1190.8
2025-04-21,1223.0
2025-04-22,1216.8
2025-04-23,1206.9
2025-04-24,1207.1
2025-04-25,1166.3
2025-04-28,1192.8
2025-04-29,1187.3
2025-04-30,1185.0
2025-05-02,1182.2
2025-05-05,1173.2
2025-05-06,1161.4
2025-05-07,1161.3
2025-05-08,1172.2
2025-05-09,1151.1
2025-05-12,1203.0
2025-05-13,1193.6
2025-05-14,1195.5
2025-05-15,1209.1
2025-05-16,1208.8
2025-05-19,1202.8
2025-05-20,1195.8
2025-05-21,1197.8
2025-05-22,1188.5
2025-05-23,1210.1
2025-05-26,1215.2
2025-05-27,1195.6
2025-05-28,1194.7
2025-05-29,1201.7
2025-05-30,1192.2
2025-06-02,1194.4
2025-06-03,1181.5
2025-06-04,1171.0
2025-06-05,1159.0
2025-06-06,1194.6
