Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,32709.0,23607.0,9102.0,28.0,1767.0,121.0,1412.0,9335.0,28.0,6715.0,10.86
2022-06-01,35092.0,22865.0,12227.0,35.0,995.0,150.0,994.0,12077.0,27.0,8834.0,14.33
2022-09-01,29838.0,22700.0,7139.0,24.0,1761.0,135.0,1077.0,7687.0,21.0,6044.0,9.81
2022-12-01,35169.0,24781.0,10389.0,30.0,1671.0,204.0,1262.0,10594.0,27.0,7719.0,12.58
2023-03-01,38152.0,28819.0,9333.0,24.0,2291.0,195.0,1860.0,9569.0,28.0,6869.0,11.16
2023-06-01,35983.0,22431.0,13552.0,38.0,1538.0,178.0,1527.0,13385.0,22.0,10498.0,17.08
2023-09-01,32776.0,22738.0,10038.0,31.0,2074.0,182.0,1594.0,10336.0,22.0,8049.0,13.06
2023-12-01,36154.0,23183.0,12971.0,36.0,2489.0,227.0,1723.0,13510.0,24.0,10292.0,16.64
2024-03-01,38213.0,26826.0,11388.0,30.0,2318.0,232.0,1892.0,11582.0,26.0,8530.0,13.91
2024-06-01,36465.0,22126.0,14339.0,39.0,1970.0,209.0,1952.0,14147.0,23.0,10944.0,17.78
2024-09-01,30673.0,22056.0,8617.0,28.0,1642.0,208.0,1898.0,8153.0,23.0,6275.0,10.21
2024-12-01,36859.0,24541.0,12317.0,33.0,2214.0,226.0,2513.0,11792.0,28.0,8491.0,13.8
2025-03-01,37825.0,26034.0,11790.0,31.0,4106.0,241.0,2782.0,12873.0,25.0,9593.0,15.58
