Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,5475.0,5024.0,451.0,8.0,132.0,32.0,293.0,259.0,63.0,97.0,1.17
2022-06-01,5233.0,4292.0,941.0,18.0,863.0,35.0,302.0,1468.0,19.0,1189.0,14.29
2022-09-01,6332.0,4433.0,1899.0,30.0,55.0,31.0,309.0,1614.0,31.0,1114.0,13.39
2022-12-01,6790.0,4851.0,1939.0,29.0,65.0,42.0,324.0,1638.0,24.0,1244.0,14.94
2023-03-01,6315.0,4781.0,1534.0,24.0,146.0,35.0,316.0,1329.0,28.0,960.0,11.53
2023-06-01,6758.0,4696.0,2062.0,31.0,178.0,37.0,353.0,1850.0,24.0,1405.0,16.87
2023-09-01,6903.0,4894.0,2008.0,29.0,319.0,35.0,376.0,1917.0,23.0,1482.0,17.77
2023-12-01,7237.0,5214.0,2023.0,28.0,219.0,39.0,374.0,1829.0,24.0,1381.0,16.56
2024-03-01,7114.0,5283.0,1831.0,26.0,201.0,59.0,368.0,1605.0,18.0,1310.0,15.7
2024-06-01,7696.0,5566.0,2130.0,28.0,193.0,60.0,381.0,1883.0,26.0,1392.0,16.69
2024-09-01,8038.0,5962.0,2076.0,26.0,314.0,76.0,397.0,1917.0,30.0,1342.0,15.05
2024-12-01,8381.0,6108.0,2273.0,27.0,154.0,82.0,471.0,1874.0,25.0,1404.0,16.94
2025-03-01,8528.0,6530.0,1998.0,23.0,528.0,66.0,455.0,2005.0,21.0,1587.0,19.09
