,0
2025-01-13,1007168.5269069561
2025-01-14,1009059.5124827138
2025-01-15,1011164.9565278395
2025-01-16,1003579.7705812061
2025-01-17,1014479.6525258931
2025-01-20,1002895.3070804143
2025-01-21,1013833.4587720799
2025-01-22,1020030.2906258235
2025-01-23,1010275.0824456384
2025-01-24,985268.2514664044
2025-01-27,985785.6627762181
2025-01-28,1000638.0457511167
2025-01-29,1006983.2565292587
2025-01-30,1023909.0110315051
2025-01-31,1011271.3869790096
2025-02-03,1032913.2673114832
2025-02-04,1039334.537271125
2025-02-05,1033759.3476356347
2025-02-06,1048742.6082092442
2025-02-07,1033279.2852362199
2025-02-10,1012664.6341559927
2025-02-11,1010594.2111225086
2025-02-12,1011681.0477900916
2025-02-13,1001736.1390509111
2025-02-14,1006236.0984909149
2025-02-17,1010790.0313721125
2025-02-18,1016319.9563848266
2025-02-19,1024470.6821646881
2025-02-20,1019934.2907359854
2025-02-21,1001315.9193892832
2025-02-24,1000472.0545770876
2025-02-25,1000472.0540273169
2025-02-26,1001050.3322830518
2025-02-27,977572.2265721748
2025-02-28,980653.631510845
2025-03-03,976843.074436575
2025-03-04,998663.4881264237
2025-03-05,1004008.197524082
2025-03-06,1004192.8692389267
2025-03-07,1002555.4974759553
2025-03-10,1007497.3358186845
2025-03-11,1006038.055010766
2025-03-12,1000006.9929936104
2025-03-13,1000006.9923537194
2025-03-14,1001100.7049433256
2025-03-17,1009900.5545344414
2025-03-18,1026717.6344556158
2025-03-19,1034513.6689567702
2025-03-20,1044360.8695412033
2025-03-21,1062983.9809009796
2025-03-24,1063552.2019259592
2025-03-25,1055340.294163601
2025-03-26,1067279.9842304916
2025-03-27,1079468.16697924
2025-03-28,1079468.1663772885
2025-03-31,1072910.1511767593
2025-04-01,1094479.8024130608
2025-04-02,1105622.82135736
2025-04-03,1098860.4531510014
2025-04-04,1077209.259476395
2025-04-07,1100091.6592886336
2025-04-08,1100511.6785956267
2025-04-09,1100511.6779580417
2025-04-10,1112226.4184213087
2025-04-11,1112003.9729474157
2025-04-14,1132309.0840644133
2025-04-15,1133387.348868125
2025-04-16,1143350.2425445586
2025-04-17,1142892.9041349092
2025-04-18,1150665.1044072108
2025-04-21,1147750.030946102
2025-04-22,1167882.0416032919
2025-04-23,1164309.7859916992
2025-04-24,1153053.319112076
2025-04-25,1173039.3610814258
2025-04-28,1168305.1451810957
2025-04-29,1168318.2596558065
2025-04-30,1168084.5957523538
2025-05-01,1173589.5613567382
2025-05-02,1176117.21703322
2025-05-05,1170788.5472098922
2025-05-06,1173328.7744086487
2025-05-07,1168660.33915799
2025-05-08,1168085.1309758807
2025-05-09,1226730.7028044553
2025-05-12,1208809.4279593378
2025-05-13,1217548.2627039754
2025-05-14,1238887.5194765236
2025-05-15,1240518.6355240296
2025-05-16,1235731.7142002622
2025-05-19,1222957.6529412419
2025-05-20,1227215.8944708675
2025-05-21,1212508.0824321546
2025-05-22,1221074.633635503
2025-05-23,1225991.8255860915
2025-05-26,1219304.3181863418
2025-05-27,1212956.5620161279
2025-05-28,1214209.1670910052
2025-05-29,1205187.5573778069
2025-05-30,1201445.0923850497
2025-06-02,1199620.1656175563
2025-06-03,1201091.987941395
2025-06-04,1204002.8700426454
2025-06-05,1209788.7089458543
2025-06-06,1209304.7974025502
