Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,3175.0,2731.0,444.0,14.0,29.0,16.0,72.0,385.0,25.0,239.0,2.27
2022-06-01,3327.0,2870.0,457.0,14.0,11.0,16.0,73.0,379.0,27.0,277.0,2.67
2022-09-01,3363.0,2929.0,434.0,13.0,141.0,20.0,73.0,482.0,26.0,389.0,3.43
2022-12-01,3475.0,3021.0,454.0,13.0,128.0,24.0,75.0,482.0,23.0,364.0,3.65
2023-03-01,3619.0,3107.0,512.0,14.0,49.0,28.0,83.0,450.0,23.0,290.0,2.78
2023-06-01,3741.0,3196.0,545.0,15.0,53.0,26.0,82.0,489.0,27.0,338.0,3.28
2023-09-01,3734.0,3197.0,537.0,14.0,75.0,28.0,94.0,491.0,27.0,364.0,3.51
2023-12-01,3804.0,3232.0,572.0,15.0,-32.0,33.0,86.0,422.0,25.0,302.0,2.89
2024-03-01,3927.0,3297.0,630.0,16.0,-177.0,43.0,116.0,294.0,9.0,212.0,2.19
2024-06-01,4352.0,3685.0,667.0,15.0,22.0,94.0,148.0,448.0,30.0,289.0,2.93
2024-09-01,4214.0,3588.0,626.0,15.0,19.0,99.0,149.0,397.0,10.0,367.0,3.68
2024-12-01,4444.0,3879.0,565.0,13.0,45.0,58.0,150.0,402.0,25.0,282.0,2.82
2025-03-01,4608.0,3987.0,621.0,13.0,102.0,40.0,153.0,530.0,23.0,349.0,3.49
