displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,19309.57,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,683.32,,,2024,Interim
Non- Cash Items ,Non-CashItems,3849.43,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-96602.46,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,-72760.14,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-1037.78,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-6133.40,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,-7171.18,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,14725.38,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1814.58,,,2024,Interim
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,9364.38,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,60139.90,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,82415.08,,,2024,Interim
Net Changein Cash ,NetChangeinCash,2483.76,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,5097.99,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
